"","pm","class","n.patches","total.area","prop.landscape","patch.density","total.edge","edge.density","landscape.shape.index","largest.patch.index","mean.patch.area","sd.patch.area","min.patch.area","max.patch.area","perimeter.area.frac.dim","mean.perim.area.ratio","sd.perim.area.ratio","min.perim.area.ratio","max.perim.area.ratio","mean.shape.index","sd.shape.index","min.shape.index","max.shape.index","mean.frac.dim.index","sd.frac.dim.index","min.frac.dim.index","max.frac.dim.index","total.core.area","prop.landscape.core","mean.patch.core.area","sd.patch.core.area","min.patch.core.area","max.patch.core.area","prop.like.adjacencies","aggregation.index","lanscape.division.index","splitting.index","effective.mesh.size","patch.cohesion.index"
"1088",0.0053,64,5,13,0.0144444444444444,0.00555555555555556,38,0.0422222222222222,2.375,0.00888888888888889,2.6,3.04959013639538,1,8,6.22195741774916,3.5,0.707106781186548,2.5,4,1.13333333333333,0.298142396999972,1,1.66666666666667,1.35893853235028,0.26730549888207,1.16992500144231,1.54795206325824,0,0,0,0,0,0,0.155555555555556,38.8888888888889,0.999912345679012,11408.4507042254,0.0788888888888889,5.98608521587515
"1089",0.0053,68,5,13,0.0144444444444444,0.00555555555555556,42,0.0466666666666667,2.625,0.00666666666666667,2.6,2.07364413533277,1,6,6.95364604111719,3.46666666666667,0.505525029603437,3,4,1.21,0.347131099154196,1,1.8,1.50563189744267,0.290780804699786,1.16992500144231,1.67888315659275,0,0,0,0,0,0,0.106382978723404,27.7777777777778,0.999937037037037,15882.3529411765,0.0566666666666667,5.06118212714469
"1090",0.0053,78,1,1,0.00111111111111111,0.00111111111111111,4,0.00444444444444444,1,0.00111111111111111,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.999998765432099,810000,0.00111111111111111,NA
"1091",0.0053,118,9,10,0.0111111111111111,0.01,38,0.0422222222222222,2.71428571428571,0.00222222222222222,1.11111111111111,0.333333333333333,1,2,9.4027577456592,3.88888888888889,0.333333333333333,3,4,1,0,1,1,1.16992500144231,NA,1.16992500144231,1.16992500144231,0,0,0,0,0,0,0.0256410256410256,7.69230769230769,0.999985185185185,67500,0.0133333333333333,2.83130111519671
"1092",0.0053,144,1,1,0.00111111111111111,0.00111111111111111,4,0.00444444444444444,1,0.00111111111111111,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.999998765432099,810000,0.00111111111111111,NA
"1093",0.0053,202,1,3,0.00333333333333333,0.00111111111111111,12,0.0133333333333333,1.5,0.00333333333333333,3,NA,3,3,8.57774700692959,4,NA,4,4,1.5,NA,1.5,1.5,2,NA,2,2,0,0,0,NA,0,0,0,0,0.999988888888889,90000,0.01,NA
"1094",0.0053,210,3,4,0.00444444444444444,0.00333333333333333,14,0.0155555555555556,1.75,0.00222222222222222,1.33333333333333,0.577350269189626,1,2,8.38301423934659,3.66666666666667,0.577350269189626,3,4,1,0,1,1,1.16992500144231,NA,1.16992500144231,1.16992500144231,0,0,0,0,0,0,0.0666666666666667,33.3333333333333,0.999992592592593,135000,0.00666666666666667,2.83130111519671
"1095",0.0053,222,10,64,0.0711111111111111,0.0111111111111111,168,0.186666666666667,5.25,0.0366666666666667,6.4,10.2761860629321,1,33,5.32800677158546,3.23515151515152,0.685040943131097,2.4,4,1.40666666666667,0.810281158336756,1,3.41666666666667,1.41814946912702,0.246794821329561,1.16992500144231,1.72768102630818,0,0,0,0,0,0,0.207547169811321,39.6396396396396,0.998320987654321,595.588235294118,1.51111111111111,7.57236325997082
"1096",0.0053,224,10,26,0.0288888888888889,0.0111111111111111,82,0.0911111111111111,3.72727272727273,0.01,2.6,2.71620650499512,1,9,6.74470382149363,3.71111111111111,0.611279438097119,2.44444444444444,4,1.24333333333333,0.297333831589019,1,1.83333333333333,1.81982796280217,0.246715444486214,1.54741122893817,2,0,0,0,0,0,0,0.118279569892473,26.8292682926829,0.999834567901235,6044.77611940299,0.148888888888889,6.21405691960516
"1097",0.0053,256,1,2,0.00222222222222222,0.00111111111111111,6,0.00666666666666667,1,0.00222222222222222,2,NA,2,2,6.81369690625718,3,NA,3,3,1,NA,1,1,1.16992500144231,NA,1.16992500144231,1.16992500144231,0,0,0,NA,0,0,0.142857142857143,100,0.999995061728395,202500,0.00444444444444444,2.83130111519671
"1098",0.0053,261,4,8,0.00888888888888889,0.00444444444444444,24,0.0266666666666667,2,0.00333333333333333,2,0.816496580927726,1,3,6.75412237730072,3.16666666666667,0.577350269189626,2.66666666666667,4,1,0,1,1,1.20056983667585,0.053078411614058,1.16992500144231,1.26185950714291,0,0,0,0,0,0,0.142857142857143,40,0.999977777777778,45000,0.02,3.52181325954821
"1099",0.0053,268,3,4,0.00444444444444444,0.00333333333333333,14,0.0155555555555556,1.75,0.00222222222222222,1.33333333333333,0.577350269189626,1,2,8.38301423934659,3.66666666666667,0.577350269189626,3,4,1,0,1,1,1.16992500144231,NA,1.16992500144231,1.16992500144231,0,0,0,0,0,0,0.0666666666666667,33.3333333333333,0.999992592592593,135000,0.00666666666666667,2.83130111519671
"1100",0.0053,318,1,1,0.00111111111111111,0.00111111111111111,4,0.00444444444444444,1,0.00111111111111111,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.999998765432099,810000,0.00111111111111111,NA
"1101",0.0053,321,12,29,0.0322222222222222,0.0133333333333333,90,0.1,4.09090909090909,0.01,2.41666666666667,2.46644143115812,1,9,6.67572936111008,3.58055555555556,0.629326774062719,2.5,4,1.16527777777778,0.302385994322306,1,2,1.53591072879974,0.318031731624931,1.16992500144231,2,0,0,0,0,0,0,0.12621359223301,27.6595744680851,0.999830864197531,5912.40875912409,0.152222222222222,5.75454932099285
"1102",0.0053,363,1,1,0.00111111111111111,0.00111111111111111,4,0.00444444444444444,1,0.00111111111111111,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.999998765432099,810000,0.00111111111111111,NA
"1103",0.0053,365,1,1,0.00111111111111111,0.00111111111111111,4,0.00444444444444444,1,0.00111111111111111,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.999998765432099,810000,0.00111111111111111,NA
"1104",0.0053,382,17,63,0.07,0.0188888888888889,182,0.202222222222222,5.6875,0.0144444444444444,3.70588235294118,3.4235344653288,1,13,6.02847063238501,3.35067873303167,0.662823320811741,2.46153846153846,4,1.29705882352941,0.338513667771294,1,2,1.57613375762148,0.281071651152566,1.16992500144231,2,0,0,0,0,0,0,0.161290322580645,31.8181818181818,0.99948024691358,1923.99049881235,0.467777777777778,6.19137269302539
"1105",0.0053,394,2,2,0.00222222222222222,0.00222222222222222,8,0.00888888888888889,1.33333333333333,0.00111111111111111,1,0,1,1,10.121576876138,4,0,4,4,1,0,1,1,NA,NA,Inf,-Inf,0,0,0,0,0,0,0,0,0.999997530864198,405000,0.00222222222222222,NA
"1106",0.0053,406,1,6,0.00666666666666667,0.00111111111111111,20,0.0222222222222222,2,0.00666666666666667,6,NA,6,6,6.83968331933625,3.33333333333333,NA,3.33333333333333,3.33333333333333,2,NA,2,2,1.79648880340785,NA,1.79648880340785,1.79648880340785,0,0,0,NA,0,0,0.0909090909090909,28.5714285714286,0.999955555555556,22500,0.04,5.72026652551599
"1107",0.0053,460,2,2,0.00222222222222222,0.00222222222222222,8,0.00888888888888889,1.33333333333333,0.00111111111111111,1,0,1,1,10.121576876138,4,0,4,4,1,0,1,1,NA,NA,Inf,-Inf,0,0,0,0,0,0,0,0,0.999997530864198,405000,0.00222222222222222,NA
"1108",0.0053,468,7,10,0.0111111111111111,0.00777777777777778,36,0.04,2.57142857142857,0.00333333333333333,1.42857142857143,0.786795792469443,1,3,8.44791603576394,3.76190476190476,0.417855447018672,3,4,1.03571428571429,0.0944911182523068,1,1.25,1.41900626786763,0.352254105111745,1.16992500144231,1.66808753429294,0,0,0,0,0,0,0.0526315789473684,15.3846153846154,0.999977777777778,45000,0.02,3.52181325954821
"1109",0.0053,469,1,1,0.00111111111111111,0.00111111111111111,4,0.00444444444444444,1,0.00111111111111111,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.999998765432099,810000,0.00111111111111111,NA
"1110",0.0053,478,10,31,0.0344444444444444,0.0111111111111111,80,0.0888888888888889,3.33333333333333,0.0211111111111111,3.1,5.62632700396587,1,19,5.35785666267528,3.56666666666667,0.737864787372622,2,4,1.11111111111111,0.351364184463153,1,2.11111111111111,1.32032222728398,0.186627559892794,1.16992500144231,1.52918217326672,0,0,0,0,0,0,0.215686274509804,44,0.99952962962963,2125.9842519685,0.423333333333333,7.24166115296166
"1111",0.0053,492,3,4,0.00444444444444444,0.00333333333333333,14,0.0155555555555556,1.75,0.00222222222222222,1.33333333333333,0.577350269189626,1,2,8.38301423934659,3.66666666666667,0.577350269189626,3,4,1,0,1,1,1.16992500144231,NA,1.16992500144231,1.16992500144231,0,0,0,0,0,0,0.0666666666666667,33.3333333333333,0.999992592592593,135000,0.00666666666666667,2.83130111519671
"1112",0.0053,525,3,6,0.00666666666666667,0.00333333333333333,24,0.0266666666666667,2.4,0.00444444444444444,2,1.73205080756888,1,4,8.81013530627118,4,0,4,4,1.33333333333333,0.577350269189626,1,2,2,NA,2,2,0,0,0,0,0,0,0,0,0.999977777777778,45000,0.02,NA
"1113",0.0053,549,1,1,0.00111111111111111,0.00111111111111111,4,0.00444444444444444,1,0.00111111111111111,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.999998765432099,810000,0.00111111111111111,NA
"1114",0.0053,558,3,5,0.00555555555555556,0.00333333333333333,16,0.0177777777777778,1.6,0.00333333333333333,1.66666666666667,1.15470053837925,1,3,7.30152392071172,3.55555555555556,0.769800358919501,2.66666666666667,4,1,0,1,1,1.26185950714291,NA,1.26185950714291,1.26185950714291,0,0,0,0,0,0,0.111111111111111,40,0.999986419753086,73636.3636363636,0.0122222222222222,4.08561406450028
"1115",0.0053,575,2,4,0.00444444444444444,0.00222222222222222,16,0.0177777777777778,2,0.00333333333333333,2,1.4142135623731,1,3,8.89802200117973,4,0,4,4,1.25,0.353553390593274,1,1.5,2,NA,2,2,0,0,0,0,0,0,0,0,0.999987654320988,81000,0.0111111111111111,NA
